ORDRE;FAMILLE;SOUS_FAMILLE;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;SONOTYPE;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;TAAF;PF;NC;WF;CLI;URL
Chiroptera;;;186233;186206;899351;186233;OR;Chiroptera;Blumenbach, 1779;Chiroptera Blumenbach, 1779;Chiroptera Blumenbach, 1779;Chiroptera Blumenbach, 1779;;bats;;;P;P;P;P;P;P;P;P;;P;;;;P;P;P;;
Chiroptera;Emballonuridae;;418438;186233;186233;418438;FM;Emballonuridae;Gervais, 1856;Emballonuridae Gervais, 1856;Emballonuridae Gervais, 1856;Emballonuridae Gervais, 1856;;;;;;P;;;;;;P;;P;;;;;;;;
Chiroptera;Emballonuridae;;443517;418438;418438;443517;GN;Centronycteris;Gray, 1838;Centronycteris Gray, 1838;<i>Centronycteris</i> Gray, 1838;Centronycteris Gray, 1838;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Emballonuridae;;443633;443517;443517;443633;ES;Centronycteris maximiliani;(Fischer, 1829);Centronycteris maximiliani (Fischer, 1829);<i>Centronycteris maximiliani</i> (Fischer, 1829);Centronycteris maximiliani (Fischer, 1829);;;FMu-QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443633
Chiroptera;Emballonuridae;;443518;418438;418438;443518;GN;Cormura;W. Peters, 1867;Cormura W. Peters, 1867;<i>Cormura</i> W. Peters, 1867;Cormura W. Peters, 1867;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Emballonuridae;;443634;443518;443518;443634;ES;Cormura brevirostris;(Wagner, 1843);Cormura brevirostris (Wagner, 1843);<i>Cormura brevirostris</i> (Wagner, 1843);Cormura brevirostris (Wagner, 1843);;;FMu-QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443634
Chiroptera;Emballonuridae;;443519;418438;418438;443519;GN;Cyttarops;Thomas, 1913;Cyttarops Thomas, 1913;<i>Cyttarops</i> Thomas, 1913;Cyttarops Thomas, 1913;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Emballonuridae;;443635;443519;443519;443635;ES;Cyttarops alecto;Thomas, 1913;Cyttarops alecto Thomas, 1913;<i>Cyttarops alecto</i> Thomas, 1913;Cyttarops alecto Thomas, 1913;;;FMu-QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443635
Chiroptera;Emballonuridae;;443520;418438;418438;443520;GN;Diclidurus;Wied-Neuwied, 1820;Diclidurus Wied-Neuwied, 1820;<i>Diclidurus</i> Wied-Neuwied, 1820;Diclidurus Wied-Neuwied, 1820;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Emballonuridae;;655273;443520;443520;655273;ES;Diclidurus albus;Wied-Neuwied, 1820;Diclidurus albus Wied-Neuwied, 1820;<i>Diclidurus albus</i> Wied-Neuwied, 1820;Diclidurus albus Wied-Neuwied, 1820;;;FMd-QCF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/655273
Chiroptera;Emballonuridae;;443636;443520;443520;443636;ES;Diclidurus ingens;Hernandez-Camacho, 1955;Diclidurus ingens Hernandez-Camacho, 1955;<i>Diclidurus ingens</i> Hernandez-Camacho, 1955;Diclidurus ingens Hernandez-Camacho, 1955;;;FMd-QCF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443636
Chiroptera;Emballonuridae;;443637;443520;443520;443637;ES;Diclidurus scutatus;Peters, 1869;Diclidurus scutatus Peters, 1869;<i>Diclidurus scutatus</i> Peters, 1869;Diclidurus scutatus Peters, 1869;;;FMd-QCF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443637
Chiroptera;Emballonuridae;;443522;418438;418438;443522;GN;Peropteryx;W. Peters, 1867;Peropteryx W. Peters, 1867;<i>Peropteryx</i> W. Peters, 1867;Peropteryx W. Peters, 1867;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Emballonuridae;;443823;443522;443522;443823;ES;Peropteryx kappleri;Peters, 1867;Peropteryx kappleri Peters, 1867;<i>Peropteryx kappleri</i> Peters, 1867;Peropteryx kappleri Peters, 1867;;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443823
Chiroptera;Emballonuridae;;443638;443522;443522;443638;ES;Peropteryx leucoptera;Peters, 1867;Peropteryx leucoptera Peters, 1867;<i>Peropteryx leucoptera</i> Peters, 1867;Peropteryx leucoptera Peters, 1867;;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443638
