Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Accnis;piaf;piaf;x;;;x;Accipiter nisus;bird;Epervier d'Europe;Chauve-souris
Acrsch;piaf;piaf;x;;;x;Acrocephalus schoenobaenus;bird;Phragmite des joncs;Chauve-souris
Acrsci;piaf;piaf;x;;;x;Acrocephalus scirpaceus;bird;Rousserolle effarvatte;Chauve-souris
Acthyp;piaf;piaf;x;;;x;Actitis hypoleucos;bird;Chevalier guignette;Chauve-souris
Aegcau;piaf;piaf;x;x;x;x;Aegithalos caudatus;bird;Mésange à longue queue;Chauve-souris
Alaarv;piaf;piaf;x;;;x;Alauda arvensis;bird;Alouette des champs;Chauve-souris
Alcatt;piaf;piaf;x;x;x;x;Alcedo atthis;bird;Martin-pêcheur d'Europe;Chauve-souris
Aleruf;piaf;piaf;x;;;x;Alectoris rufa;bird;Perdrix rouge;Chauve-souris
Aloaeg;piaf;piaf;x;;;x;Alopochen aegyptiaca;bird;Ouette d'Egypte;Chauve-souris
Amecen;Amecen;Amecen;;;;;Ametrida centurio;bat;;Chauve-souris
amph;amph;amph;x;x;x;;Amphibia sp.;frog;Amphibien sp.;Chauve-souris
Anacre;piaf;piaf;x;;;x;Anas crecca;bird;Sarcelle d'hiver;Chauve-souris
Anapen;piaf;piaf;x;;;x;Anas penelope;bird;Canard siffleur;Chauve-souris
Anapla;piaf;piaf;x;;;x;Anas platyrhynchos;bird;Canard colvert;Chauve-souris
Anocau;Anocau;Anocau;;;;;Anoura caudifer;bat;;Chauve-souris
Anogeo;Anogeo;Anogeo;;;;;Anoura geoffroyi;bat;;Chauve-souris
Ansans;piaf;piaf;x;;;x;Anser anser;bird;Oie cendrée;Chauve-souris
Ansbra;piaf;piaf;x;;;x;Anser brachyrhynchus;bird;Oie à bec court;Chauve-souris
Antcam;piaf;piaf;x;;;;Anthus campestris;bird;Pipit rousseline;Chauve-souris
Antcho;Antcho;Antsp;x;;x;;Antaxius chopardi;bush-cricket;Antaxie catalane;Chauve-souris
Anthis;Anthis;Antsp;x;;x;;Antaxius hispanicus;bush-cricket;Antaxie pyrénéenne;Chauve-souris
Anthiu;Antius;Antsp;x;;x;;Antaxius spinibrachius;bush-cricket;Antaxie voyageuse;Chauve-souris
Antius;Antius;Antsp;x;;x;;Antaxius spinibrachius;bush-cricket;Antaxie voyageuse;Chauve-souris
Antped;Antped;Antsp;x;;;;Antaxius pedestris;bush-cricket;Antaxie marbree;Chauve-souris
Antpet;piaf;piaf;x;x;;x;Anthus petrosus;bird;Pipit maritime;Chauve-souris
Antpra;piaf;piaf;x;;;x;Anthus pratensis;bird;Pipit farlouse;Chauve-souris
Antric;piaf;piaf;x;x;x;x;Anthus richardi;bird;Pipit de Richard;Chauve-souris
Antsor;Antsor;Antsp;x;;;;Antaxius sorrezensis;bush-cricket;Antaxie cevenole;Chauve-souris
Antsp;Antsp;Antsp;x;;x;;Antaxius sp.;bush-cricket;Antaxie;Chauve-souris
Anttri;piaf;piaf;x;;;x;Anthus trivialis;bird;Pipit des arbres;Chauve-souris
Apimel;Apimel;Apimel;x;;;x;Apis mellifera;bee;Abeille domestique;Chauve-souris
Apoagr;Aposp;Mimasp;x;;;;Apodemus agrarius;other-mammal;Mulot rayé;Chauve-souris
Apofla;Aposp;Mimasp;x;x;x;;Apodemus flavicollis;other-mammal;Mulot à collier;Chauve-souris
Aposp;Aposp;Mimasp;x;x;x;x;Apodemus sp.;other-mammal;Mulot sp.;Chauve-souris
Aposyl;Aposp;Mimasp;x;x;x;x;Apodemus sylvaticus;other-mammal;Mulot sylvestre;Chauve-souris
Apuapu;piaf;piaf;x;x;x;x;Apus apus;bird;Martinet noir;Chauve-souris
Apupal;piaf;piaf;x;;;;Apus pallidus;bird;Martinet pâle;Chauve-souris
Ardcin;piaf;piaf;x;;;x;Ardea cinerea;bird;Héron cendré;Chauve-souris
Ardnic;Ardnic;Ardnic;;;;;Ardops nichollsi;bat;Ardops des petites Antilles;Chauve-souris
Artcin;Artcin;Artcin;;;;;Artibeus cinereus;bat;;Chauve-souris
Artcon;Artcon;Artcon;;;;;Artibeus concolor;bat;;Chauve-souris
Artful;Artful;Artful;;;;;Artibeus fuliginosus;bat;;Chauve-souris
Artgla;Artgla;Artgla;;;;;Artibeus glaucus;bat;;Chauve-souris
Artgno;Artgno;Artgno;;;;;Artibeus gnomus;bat;;Chauve-souris
Artjam;Artjam;Artjam;;;;;Artibeus jamaicensis;bat;Fer de Lance commun;Chauve-souris
Artlit;Artlit;Artlit;;;;;Artibeus lituratus;bat;;Chauve-souris
Artobs;Artobs;Artobs;;;;;Artibeus obscurus;bat;;Chauve-souris
Artpla;Artpla;Artpla;;;;;Artibeus planirostris;bat;;Chauve-souris
Arvamp;Arvsp;Arvsp;x;;x;x;Arvicola amphibius;other-mammal;Campagnol amphibie;Chauve-souris
Arvsap;Arvsp;Arvsp;x;;x;;Arvicola sapidus;other-mammal;Campagnol amphibie;Chauve-souris
Arvsch;Arvsp;Arvsp;x;;x;;Arvicola scherman;other-mammal;Campagnol fouisseur;Chauve-souris
Arvsp;Arvsp;Arvsp;x;x;x;x;Arvicola sp.;other-mammal;Campagnol amphibie/terrestre;Chauve-souris
Arvter;Arvsp;Arvsp;x;x;;x;Arvicola terrestris;other-mammal;Campagnol terrestre;Chauve-souris
Asiotu;piaf;piaf;x;;;x;Asio otus;bird;Hibou moyen-duc;Chauve-souris
Athnoc;piaf;piaf;x;;;x;Athene noctua;bird;Chévêche d'Athéna;Chauve-souris
Barbar;Barbar;Barbar;x;x;x;x;Barbastella barbastellus;bat;Barbastelle d'Europe;Chauve-souris
Barcom;Barcom;Barcom;;;;;Barbastella communis;bat;Barbastelle d'Europe;Chauve-souris
Bardau;Bardau;Bardau;;;;;Barbastella daubentoni;bat;Barbastelle d'Europe;Chauve-souris
