Esp,Nesp,France,Turquie,Espagne,Norfolk,Scientific name,Group
Aegcau,piaf,x,x,x,x,Aegithalos caudatus,bird
Alcatt,piaf,x,x,x,x,Alcedo atthis,bird
Antius,Antius,x,,x,,Antaxius spinibrachius,bush-cricket
Antped,Antped,x,,,,Antaxius pedestris,bush-cricket
Antpet,piaf,x,x,,,Anthus petrosus,bird
Antsor,Antsor,x,,,,Antaxius sorrezensis,bush-cricket
Apoagr,Aposp,x,x,x,,Apodemus agrarius,other mammal
Aposyl,Aposp,x,x,x,x,Apodemus sylvaticus,other mammal
Apuapu,piaf,x,x,x,x,Apus apus,bird
Barbar,Barbar,x,x,x,x,Barbastella barbastellus,bat
Barfis,Barfis,x,,,,Barbitistes fischeri,bush-cricket
Barsan,Barfis,x,,x,,Barbitistes 'sanzii',bush-cricket
Barser,Barser,x,,x,,Barbitistes serricauda,bush-cricket
Bicbic,Bicbic,x,,x,,Bicolorana bicolor,bush-cricket
Carcar,piaf,x,x,x,x,Carduelis carduelis,bird
Cerbra,piaf,x,x,x,x,Certhia brachydactyla,bird
Cetcet,piaf,x,x,x,x,Cettia cettia,bird
chirp,chirp,x,,,,chirp,noise
Chlchl,piaf,x,x,x,x,Chloris chloris,bird
Chovag,criq,x,x,x,x,Chorthippus vagans,grasshopper
Cicorn,Cicorn,x,x,x,,Cicada orni,cicada
Cisjun,piaf,x,x,x,x,Cisticola juncidis,bird
Condor,Condor,x,x,x,x,Conocephalus dorsalis,bush-cricket
Confus,Confus,x,,x,x,Conocephalus fuscus,bush-cricket
Cornix,piaf,x,x,x,x,Corvus cornix,bird
Crorus,Mussp,x,x,x,x,Crocidura russula,other mammal
Cyacae,piaf,x,x,x,x,Cyanistes caerulea,bird
Cympud,Cympud,x,,x,,Cymbalophora pudica,moth
Cyrscu,Cyrscu,x,,x,,Cyrtaspis scutatus,bush-cricket
Decalb,Decalb,x,x,x,,Decticus albifrons,bush-cricket
Denmaj,piaf,x,x,x,x,Dendrocopos major,bird
Embcae,piaf,x,x,x,x,Emberiza caesia,bird
Embcal,piaf,x,x,x,x,Emberiza calandra,bird
Embcir,piaf,x,x,x,x,Emberiza cirlus,bird
Embcit,piaf,x,x,x,x,Emberiza citrinella,bird
Epheph,Epheph,x,,x,,Ephippiger ephippiger,bush-cricket
Eptana,Eptana,,x,,,Eptesicus anatolicus,bat
