Espece;Int;Pente;Seuil50;Seuil90;Seuil95;Seuil99;FN50;FN90;FN95;FN99;FP50;FP90;FP95;FP99;Nvalid
amph;-7.09534246115302;39.0463129921877;0.182;0.238;0.258;0.3;1;1;1;1;1;999;999;999;18
Antsp;-6.80069882463859;37.772249245351;0.181;0.239;0.258;0.302;0.872340425531915;0.936170212765957;0.957446808510638;0.978723404255319;0.5;0.25;0.333333333333333;0;47
Barbar;-6.36492436291072;14.5940402020128;0.437;0.587;0.638;0.751;0.165938864628821;0.231441048034935;0.248908296943231;0.375545851528384;0.0637254901960784;0.0382513661202186;0.0282485875706215;0.0272108843537415;229
Barfis;-6.81610142184393;31.6495691816252;0.216;0.285;0.309;0.361;0.764705882352941;0.852941176470588;0.852941176470588;0.882352941176471;0.384615384615385;0.285714285714286;0.285714285714286;0.2;34
cigale;-8.49736298841211;71.1715058999542;0.12;0.151;0.161;0.184;0.538461538461538;0.538461538461538;0.538461538461538;0.538461538461538;0.25;0.142857142857143;0.142857142857143;0.142857142857143;13
Confus;-6.75595504253904;15.489413414516;0.437;0.579;0.627;0.733;0.5;0.716216216216216;0.837837837837838;0.959459459459459;0.26;0.0869565217391304;0.0769230769230769;0.25;74
Cympud;-7.45711418686825;21.8834817331556;0.341;0.442;0.476;0.551;0.333333333333333;0.433333333333333;0.466666666666667;0.666666666666667;0.130434782608696;0.105263157894737;0.111111111111111;0.0909090909090909;30
Cyrscu;-6.2086383302774;41.0904633122312;0.152;0.205;0.223;0.263;0.661290322580645;0.725806451612903;0.725806451612903;0.741935483870968;0.275862068965517;0.15;0.15;0.111111111111111;62
Decalb;-6.45250414962168;20.1392398204665;0.321;0.43;0.467;0.549;0.595238095238095;0.642857142857143;0.642857142857143;0.666666666666667;0.105263157894737;0.117647058823529;0.0625;0.0666666666666667;42
Epheph;-5.54508127417562;14.0682538603775;0.395;0.551;0.604;0.721;0.532374100719424;0.748201438848921;0.798561151079137;0.913669064748201;0.252873563218391;0.166666666666667;0.151515151515152;0.142857142857143;139
Eptnil;-7.62527610472595;45.5085404277947;0.168;0.216;0.233;0.269;0.91304347826087;0.956521739130435;0.956521739130435;1;0.5;0.5;0;999;23
Eptser;-5.07274265713317;11.4295974786623;0.444;0.637;0.702;0.846;0.29811320754717;0.6;0.715094339622641;0.937735849056604;0.203426124197002;0.101694915254237;0.05625;0;530
Eupsp;-6.26561984339091;55.2610932107827;0.114;0.154;0.167;0.197;0.807017543859649;0.824561403508772;0.824561403508772;0.824561403508772;0.3125;0.166666666666667;0.0909090909090909;0;57
gril;-7.00372392596924;70.9929346808205;0.099;0.13;0.141;0.164;0.8;0.8;0.8;0.8;0;0;0;0;20
Hypsav;-5.54724459611017;10.5395422481487;0.527;0.735;0.806;0.963;0.321428571428571;0.543650793650794;0.666666666666667;1;0.18957345971564;0.0495867768595041;0.0117647058823529;999;252
Inssp7;-7.77279373540012;46.1008237642253;0.169;0.217;0.233;0.269;1;1;1;1;1;999;999;999;8
Isopyr;-6.5439584839655;27.7853693775692;0.236;0.315;0.342;0.401;0.610169491525424;0.779661016949153;0.779661016949153;0.847457627118644;0.303030303030303;0.235294117647059;0.1875;0.181818181818182;59
Lamsp.;-8.16122649210054;15.0663131222065;0.542;0.688;0.738;0.847;0.189189189189189;0.405405405405405;0.540540540540541;0.891891891891892;0.142857142857143;0.0434782608695652;0;0;37
Leppun;-4.76347790240193;10.0486770548674;0.475;0.693;0.768;0.932;0.20627261761158;0.324487334137515;0.428226779252111;0.945717732207479;0.0986301369863014;0.0819672131147541;0.068762278978389;0.0217391304347826;829
Metbra;-6.84750485874608;30.8638240500619;0.222;0.294;0.318;0.371;1;1;1;1;1;1;999;999;34
Micagr;-6.59644042665171;17.2295781556;0.383;0.511;0.554;0.65;0.6875;0.6875;0.75;0.8125;0.285714285714286;0.230769230769231;0.272727272727273;0.25;32
