Espece,Int,Pente,Seuil50,Seuil90,Seuil95,Seuil99,FN50,FN90,FN95,FN99,FP50,FP90,FP95,FP99,Nvalid
amph,-5.92581031746827,18.8501151119199,0.315,0.431,0.471,0.559,0.989795918367347,1,1,1,0.8,1,0,0,98
Antius,-5.9945881624689,20.349639863169,0.295,0.403,0.44,0.521,1,1,1,1,NaN,NaN,NaN,NaN,72
Antped,-5.87078606705706,-11.3264186155708,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,34
Antsor,-6.55754048576915,28.3254578120081,0.232,0.31,0.336,0.394,1,1,1,1,1,NaN,NaN,NaN,65
Aposp,-7.16715468641551,19.5230561841676,0.368,0.48,0.518,0.603,0.688311688311688,0.766233766233766,0.818181818181818,0.909090909090909,0.2,0.1,0.05,0,77
Barbar,-7.40913409257974,17.5113689715605,0.424,0.549,0.592,0.686,0.284883720930233,0.436046511627907,0.488372093023256,0.633720930232558,0.115107913669065,0.0202020202020202,0.0101010101010101,0,172
Barfis,-6.26898602016471,19.3251577756462,0.325,0.439,0.477,0.563,0.936507936507937,0.992063492063492,1,1,0.724137931034483,0.666666666666667,0.333333333333333,0,126
Barsan,-7.23493611862245,27.7558693845505,0.261,0.34,0.367,0.427,1,1,1,1,NaN,NaN,NaN,NaN,18
Barser,-7.53998994894066,-90.0039452944636,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,6
Bicbic,-4.69742635264655,-55.7989993791534,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,73
chirp,-7.25547883924915,65.6377017156938,0.111,0.145,0.156,0.181,0.717391304347826,0.782608695652174,0.782608695652174,0.782608695652174,0.235294117647059,0.166666666666667,0.166666666666667,0.0833333333333333,46
Cicorn,-7.31191898537862,24.0926834589722,0.304,0.395,0.426,0.495,0.956521739130435,1,1,1,0.5,NaN,NaN,NaN,23
Condor,-4.82009152538109,5.827174947738,0.828,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,161
Confus,-6.7536721484417,16.0417303618631,0.422,0.558,0.605,0.708,0.80225988700565,0.926553672316384,0.954802259887006,0.994350282485876,0.492753623188406,0.380952380952381,0.0952380952380952,0,177
criq,-7.76393358436767,29.0238677144336,0.268,0.344,0.369,0.426,1,1,1,1,NaN,NaN,NaN,NaN,9
Cympud,-7.7235394186059,20.5208108281619,0.377,0.484,0.52,0.601,0.714285714285714,0.771428571428571,0.828571428571429,0.914285714285714,0.166666666666667,0,0,0,35
Cyrscu,-7.24413393281672,44.7807203578753,0.162,0.211,0.228,0.265,0.961538461538462,1,1,1,0,NaN,NaN,NaN,26
Decalb,-6.91589417945992,22.3251562474518,0.31,0.409,0.442,0.516,0.947368421052632,1,1,1,0.555555555555556,NaN,NaN,NaN,76
Epheph,-6.29812596658845,18.8545271837627,0.335,0.451,0.491,0.578,0.680911680911681,0.934472934472934,0.968660968660969,0.997150997150997,0.352601156069364,0.394736842105263,0.263157894736842,0.0789473684210526,351
Eptnil,-6.49216271116748,20.9591561907036,0.31,0.415,0.451,0.529,0.986111111111111,1,1,1,0.857142857142857,1,1,1,72
Eptser,-5.61344840705675,10.9330159929394,0.514,0.715,0.783,0.934,0.553775743707094,0.787185354691076,0.846681922196796,0.995423340961098,0.301075268817204,0.122641509433962,0.0377358490566038,0,437
Eupsp,-6.92234211436617,35.6893578122147,0.194,0.256,0.277,0.323,1,1,1,1,NaN,NaN,NaN,NaN,32
gril,-7.42888153375792,42.8051565837882,0.174,0.225,0.243,0.281,1,1,1,1,NaN,NaN,NaN,NaN,11
Hypsav,-6.60342419791221,11.5912083969146,0.57,0.76,0.824,0.967,0.428571428571429,0.723809523809524,0.847619047619048,1,0.240506329113924,0.0333333333333333,0,0,210
Insp10,-8.28974577454144,14.5729593134355,0.569,0.72,0.771,0.885,1,1,1,1,NaN,NaN,NaN,NaN,4
Insp11,-9.02518499916421,105.602153282924,0.086,0.107,0.114,0.129,1,1,1,1,NaN,NaN,NaN,NaN,5
Inssp5,-8.63826267906241,55.6498087144506,0.156,0.195,0.209,0.238,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,0,0,0,0,13
Inssp6,-8.14136903404817,17.1480230950041,0.475,0.603,0.647,0.743,1,1,1,1,1,NaN,NaN,NaN,8
Inssp7,-7.26250521701323,8.99263250779566,0.808,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,12
Inssp8,-8.34344100298617,-43.2184848128112,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,3
Inssp9,-9.31244559575566,-3713.75220216403,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,1
Isopyr,-5.44079031710211,14.8438939369622,0.367,0.515,0.565,0.677,1,1,1,1,1,1,0,0,146
Lamsp.,-7.50352767740272,18.5811392663908,0.404,0.523,0.563,0.652,0.518518518518518,0.611111111111111,0.666666666666667,0.851851851851852,0.103448275862069,0.0454545454545455,0,0,54
Lepbos,-8.71882706002893,-3625.97759071636,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,2
