Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Accnis;piaf;piaf;x;;;x;Accipiter nisus;bird;Epervier d'Europe;Autre
Acrsch;piaf;piaf;x;;;x;Acrocephalus schoenobaenus;bird;Phragmite des joncs;Autre
Acrsci;piaf;piaf;x;;;x;Acrocephalus scirpaceus;bird;Rousserolle effarvatte;Autre
Acthyp;piaf;piaf;x;;;x;Actitis hypoleucos;bird;Chevalier guignette;Autre
Aegcau;piaf;piaf;x;x;x;x;Aegithalos caudatus;bird;Mésange à longue queue;Autre
Alaarv;piaf;piaf;x;;;x;Alauda arvensis;bird;Alouette des champs;Autre
Alcatt;piaf;piaf;x;x;x;x;Alcedo atthis;bird;Martin-pêcheur d'Europe;Autre
Aleruf;piaf;piaf;x;;;x;Alectoris rufa;bird;Perdrix rouge;Autre
Aloaeg;piaf;piaf;x;;;x;Alopochen aegyptiaca;bird;Ouette d'Egypte;Autre
amph;amph;amph;x;x;x;x;Amphibia sp.;frog;Amphibien sp.;Autre
Anacre;piaf;piaf;x;;;x;Anas crecca;bird;Sarcelle d'hiver;Autre
Anapen;piaf;piaf;x;;;x;Anas penelope;bird;Canard siffleur;Autre
Anapla;piaf;piaf;x;;;x;Anas platyrhynchos;bird;Canard colvert;Autre
Ansans;piaf;piaf;x;;;x;Anser anser;bird;Oie cendrée;Autre
Ansbra;piaf;piaf;x;;;x;Anser brachyrhynchus;bird;Oie à bec court;Autre
Antcam;piaf;piaf;x;;;;Anthus campestris;bird;Pipit rousseline;Autre
Antcho;Antcho;Antsp;x;;x;;Antaxius chopardi;bush-cricket;Antaxie catalane;Sauterelle
Anthis;Anthis;Antsp;x;;x;;Antaxius hispanicus;bush-cricket;Antaxie pyrénéenne;Sauterelle
Anthiu;Antius;Antsp;x;;x;;Antaxius spinibrachius;bush-cricket;Antaxie voyageuse;Sauterelle
Antius;Antius;Antsp;x;;x;;Antaxius spinibrachius;bush-cricket;Antaxie voyageuse;Sauterelle
Antped;Antped;Antsp;x;;;;Antaxius pedestris;bush-cricket;Antaxie marbree;Sauterelle
Antpet;piaf;piaf;x;x;;;Anthus petrosus;bird;Pipit maritime;Autre
Antpra;piaf;piaf;x;;;x;Anthus pratensis;bird;Pipit farlouse;Autre
Antric;piaf;piaf;x;x;x;x;Anthus richardi;bird;Pipit de Richard;Autre
Antsor;Antsor;Antsp;x;;;;Antaxius sorrezensis;bush-cricket;Antaxie cevenole;Sauterelle
Antsp;Antsp;Antsp;x;;x;;Antaxius sp.;bush-cricket;Antaxie;Sauterelle
Anttri;piaf;piaf;x;;;x;Anthus trivialis;bird;Pipit des arbres;Autre
Apimel;Apimel;Apimel;x;;;x;Apis mellifera;bee;Abeille domestique;Autre
Apoagr;Aposp;Mimasp;x;;;;Apodemus agrarius;other mammal;Mulot rayé;Autre
Apofla;Aposp;Mimasp;x;x;x;;Apodemus flavicollis;other mammal;Mulot à collier;Autre
Aposp;Aposp;Mimasp;x;x;x;x;Apodemus sp.;other mammal;Mulot sp.;Autre
Aposyl;Aposp;Mimasp;x;x;x;x;Apodemus sylvaticus;other mammal;Mulot sylvestre;Autre
Apuapu;piaf;piaf;x;x;x;x;Apus apus;bird;Martinet noir;Autre
Apupal;piaf;piaf;x;;;;Apus pallidus;bird;Martinet pâle;Autre
Ardcin;piaf;piaf;x;;;x;Ardea cinerea;bird;Héron cendré;Autre
Arvsap;Arvsp;Arvsp;x;;x;;Arvicola sapidus;other mammal;Campagnol amphibie;Autre
Arvsch;Arvsp;Arvsp;x;;x;;Arvicola scherman;other mammal;Campagnol fouisseur;Autre
Arvsp;Arvsp;Arvsp;x;x;x;x;Arvicola sp.;other mammal;Campagnol amphibie/terrestre;Autre
Arvter;Arvsp;Arvsp;x;x;;x;Arvicola terrestris;other mammal;Campagnol terrestre;Autre
Asiotu;piaf;piaf;x;;;x;Asio otus;bird;Hibou moyen-duc;Autre
Athnoc;piaf;piaf;x;;;x;Athene noctua;bird;Chévêche d'Athéna;Autre
Barbar;Barbar;Barbar;x;x;x;x;Barbastella barbastellus;bat;Barbastelle d'Europe;Chauve-souris
Barfis;Barfis;Barfis;x;;;;Barbitistes fischeri;bush-cricket;Barbitiste languedocien;Sauterelle
Barsan;Barsan;Barfis;x;;x;;Barbitistes 'sanzii';bush-cricket;Barbitiste cryptique;Sauterelle
Barser;Barser;Barfis;x;;x;;Barbitistes serricauda;bush-cricket;Barbitiste des bois;Sauterelle
Bicbic;Bicbic;Metbra;x;;x;;Bicolorana bicolor;bush-cricket;Decticelle bicolore;Sauterelle
bird;piaf;piaf;;;;x;bird;bird;Oiseau sp.;Autre
Bostau;Bostau;Bostau;x;;;x;Bos taurus;other mammal;Butor étoilé;Autre
Bracan;piaf;piaf;x;;;x;Branta canadensis;bird;Bernache du Canada;Autre
Buroed;piaf;piaf;x;;;x;Burhinus oedicnemus;bird;Oedicnème criard;Autre
Butbut;piaf;piaf;x;;;x;Buteo buteo;bird;Buse variable;Autre
buzz;noise;noise;x;x;x;x;insect wingbeats;noise;bourdonnement;Autre
Calbai;piaf;piaf;x;x;;x;Calidris bairdii;bird;Bécasseau de Baird;Autre
Calcan;piaf;piaf;x;x;x;x;Calidris canutus;bird;Bécasseau maubèche;Autre
Calfus;piaf;piaf;x;x;;x;Calidris fuscicollis;bird;Bécasseau de Bonaparte;Autre
Calhim;piaf;piaf;x;x;x;x;Calidris himantopus;bird;Bécasseau à échasses;Autre
Calmar;piaf;piaf;x;x;;x;Calidris mauri;bird;Bécasseau violet;Autre
Calmau;piaf;piaf;x;x;;x;Calidris mauri;bird;Bécasseau d'Alaska;Autre
Canfam;mamm;mamm;x;x;x;x;Canis lupus familiaris;other mammal;Chien;Autre
Cansp.;Cansp.;Cansp.;x;;;x;Lampyris sp.;beetle;Lampyre sp.;Autre
Capcap;Capcap;Capcap;x;;;x;Capreolus capreolus;other mammal;Chevreuil;Autre
Capeur;piaf;piaf;x;;;x;Caprimulgus europaeus;bird;Engoulevent d'Europe;Autre
Cappyr;Cappyr;Cappyr;x;;;;Capra pyrenaica;other mammal;Bouquetin d'Espagne;Autre
car;noise;noise;x;x;x;x;vehicle;noise;véhicule;Autre
Carcar;piaf;piaf;x;x;x;x;Carduelis carduelis;bird;Chardonneret élégant;Autre
Cerbra;piaf;piaf;x;x;x;x;Certhia brachydactyla;bird;Grimpereau des jardins;Autre
Cerela;Cerela;Cerela;x;;;x;Cervus elaphus;other mammal;Cerf élaphe;Autre
Cetcet;piaf;piaf;x;x;x;x;Cettia cettia;bird;Bouscarle de Cetti;Autre
Chahia;piaf;piaf;x;;;x;Charadrius hiaticula;bird;Grand Gravelot;Autre
Chioniv;Chioniv;Chioniv;x;x;x;;Chionomys nivalis;other mammal;Campagnol des neiges;Autre
chirp;chirp;noise;x;;;;chirp;noise;chirp;Autre
Chlchl;piaf;piaf;x;x;x;x;Chloris chloris;bird;Verdier d'Europe;Autre
Chlhyb;piaf;piaf;x;;;;Chlidonias hybridus;bird;Guifette moustac;Autre
Chobru;criq;criq;x;;;x;Chorthippus brunneus;grasshopper;Criquet duettiste;Autre
Chovag;criq;criq;x;x;x;x;Chorthippus vagans;grasshopper;Criquet des pins;Autre
Chrrid;piaf;piaf;x;;;x;Chroicocephalus ridibundus;bird;Mouette rieuse;Autre
Cicatr;Cicatr;cigale;x;x;x;;Cicadatra atra;cicada;Cigale noire;Autre
Cicorn;Cicorn;cigale;x;x;x;;Cicada orni;cicada;Cigale grise;Autre
cigale;cigale;cigale;x;x;x;x;Cicadoidea sp.;cicada;Cigale sp.;Autre
Cincin;piaf;piaf;x;;;x;Cinclus cinclus;bird;Cincle plongeur;Autre
Ciraer;piaf;piaf;x;;;x;Circus aeruginosus;bird;Busard des roseaux;Autre
Cisjun;piaf;piaf;x;x;x;x;Cisticola juncidis;bird;Cisticole des joncs;Autre
Coccoc;piaf;piaf;x;;;x;Coccothraustes coccothraustes;bird;Grosbec casse-noyaux;Autre
Colpal;piaf;piaf;x;;;x;Columba palumbus;bird;Pigeon ramier;Autre
Concon;Concon;Confus;x;x;x;;Conocephalus conocephalus;bush-cricket;Conocéphale africain;Sauterelle
Condor;Condor;Confus;x;x;x;x;Conocephalus dorsalis;bush-cricket;Conocephale des marais;Sauterelle
Confus;Confus;Confus;x;;x;x;Conocephalus fuscus;bush-cricket;Conocephale bigarre;Sauterelle
Corcho;Epheph;Epheph;x;;;;Corsteropleurus chopardi;bush-cricket;Ephippigère corse;Sauterelle
Corfru;piaf;piaf;x;;;x;Corvus frugilegus;bird;Corbeau freux;Autre
Cormon;piaf;piaf;x;;;x;Corvus monedula;bird;Choucas des tours;Autre
Cornix;piaf;piaf;x;x;x;x;Corvus cornix;bird;Corneille mantelée;Autre
Corone;piaf;piaf;x;;;x;Corvus corone;bird;Corneille noire;Autre
Corrax;piaf;piaf;x;x;x;x;Corvus corax;bird;Grand Corbeau;Autre
Cotcot;piaf;piaf;x;;;x;Coturnix coturnix;bird;Caille des blés;Autre
criq;criq;criq;x;x;x;x;Caelifera sp.;grasshopper;Criquet sp.;Autre
